3783 24186
1 3189 1.0000000000
1 3193 1.0000000000
1 1847 0.3333333333
1 3202 1.0000000000
1 2351 0.5000000000
1 1063 0.1641791045
1 2352 0.5000000000
1 1051 0.1641791045
1 3173 1.0000000000
1 1843 0.3333333333
1 3163 1.0000000000
1 1186 0.1666666667
1 7341 0.1111111111
1 2342 0.5000000000
1 3139 1.0000000000
1 3167 1.0000000000
1 459 0.0859375000
1 2338 0.5000000000
1 1842 0.4782608696
1 2334 0.5000000000
1 3156 1.0000000000
1 817 0.1571428571
1 1840 0.3333333333
1 3141 1.0000000000
1 1521 0.4583333333
1 3149 1.0000000000
1 2324 0.5000000000
1 1839 0.4782608696
1 3143 1.0000000000
1 3148 1.0000000000
1 3142 1.0000000000
1 1060 0.1641791045
1 7431 0.5000000000
1 1355 0.3142857143
1 3134 0.3548387097
1 174 0.0339506173
1 2315 0.5000000000
1 1356 0.3142857143
1 3124 1.0000000000
1 1835 0.3333333333
1 296 0.0504587156
1 1180 0.1964285714
1 3118 1.0000000000
1 1542 0.3235294118
1 3113 1.0000000000
1 3111 1.0000000000
1 3013 1.0000000000
1 529 0.0814814815
1 1826 0.2075471698
1 3103 1.0000000000
1 1822 0.3333333333
1 3101 1.0000000000
1 753 0.2156862745
1 3083 1.0000000000
1 3088 1.0000000000
1 395 0.0575916230
1 3084 1.0000000000
1 333 0.0709677419
1 1339 0.2444444444
1 3068 1.0000000000
1 3042 1.0000000000
1 3078 1.0000000000
1 596 0.0964912281
1 1796 0.3333333333
1 2281 0.5000000000
1 3070 1.0000000000
1 1442 0.3235294118
1 3064 1.0000000000
1 194 0.0500000000
1 3062 1.0000000000
1 701 0.0833333333
1 3059 1.0000000000
1 124 0.0177419355
1 7427 0.5000000000
1 3057 1.0000000000
1 396 0.0683229814
1 2276 0.5000000000
1 2273 0.5000000000
1 3048 1.0000000000
1 523 0.0948275862
1 2271 0.5000000000
1 95 0.0101476015
1 1525 0.2500000000
1 2235 0.5000000000
1 2261 0.5000000000
1 1342 0.2000000000
1 331 0.0594594595
1 3027 1.0000000000
1 3023 1.0000000000
1 3026 1.0000000000
1 373 0.0639534884
1 68 0.0248306998
1 1331 0.2000000000
1 116 0.0205607477
1 2147 0.5000000000
1 3020 1.0000000000
1 2252 0.5000000000
1 179 0.0434782609
1 3004 1.0000000000
1 491 0.0291777188
1 214 0.0410447761
1 439 0.0859375000
1 3010 1.0000000000
1 2090 0.5000000000
1 3006 1.0000000000
1 810 0.1571428571
1 1167 0.1964285714
1 697 0.1078431373
1 67 0.0156472262
1 258 0.0404411765
1 1793 0.3333333333
1 3000 1.0000000000
1 2999 1.0000000000
1 1340 0.2444444444
1 2996 1.0000000000
1 2989 1.0000000000
1 1043 0.1134020619
1 554 0.2000000000
1 1336 0.2000000000
1 1337 0.2000000000
1 2238 0.5000000000
1 178 0.0320699708
1 747 0.0990990991
1 2966 1.0000000000
1 2962 1.0000000000
1 474 0.0866141732
1 330 0.0564102564
1 260 0.0376712329
1 2952 1.0000000000
1 455 0.1122448980
1 2941 1.0000000000
1 2947 1.0000000000
1 2945 1.0000000000
1 2942 1.0000000000
1 623 0.0769230769
1 1509 0.2500000000
1 2926 1.0000000000
1 29 0.0106796117
1 2217 0.5000000000
1 123 0.0281329923
1 1510 0.4583333333
1 1505 0.3235294118
1 2927 1.0000000000
1 804 0.1375000000
1 2920 1.0000000000
1 301 0.0940170940
1 2782 1.0000000000
1 2907 1.0000000000
1 2909 1.0000000000
1 958 0.1122448980
1 1148 0.1666666667
1 1502 0.2037037037
1 2904 1.0000000000
1 955 0.1410256410
1 874 0.1235955056
1 2898 1.0000000000
1 1500 0.2500000000
1 2198 0.5000000000
1 1320 0.2444444444
1 1760 0.0894308943
1 1494 0.3235294118
1 2178 0.5000000000
1 2892 1.0000000000
1 636 0.2075471698
1 1034 0.1428571429
1 276 0.1100000000
1 2876 1.0000000000
1 1318 0.2444444444
1 259 0.0404411765
1 2881 1.0000000000
1 117 0.0182119205
1 1492 0.3235294118
1 2185 0.5000000000
1 1313 0.2444444444
1 1491 0.2500000000
1 2870 1.0000000000
1 1309 0.2444444444
1 2181 0.5000000000
1 2858 1.0000000000
1 2177 0.5000000000
1 1749 0.3333333333
1 2848 1.0000000000
1 1458 0.2500000000
1 951 0.1250000000
1 1029 0.1641791045
1 2176 0.5000000000
1 347 0.0539215686
1 2846 1.0000000000
1 2845 1.0000000000
1 370 0.0639534884
1 2173 0.5000000000
1 2844 1.0000000000
1 1302 0.3142857143
1 2167 0.5000000000
1 2837 1.0000000000
1 517 0.1037735849
1 2826 1.0000000000
1 2166 0.5000000000
1 2163 0.5000000000
1 1742 0.3333333333
1 2830 1.0000000000
1 1295 0.2444444444
1 2823 1.0000000000
1 2632 1.0000000000
1 2820 1.0000000000
1 2814 1.0000000000
1 796 0.1100000000
1 1736 0.3333333333
1 1025 0.1641791045
1 1482 0.2500000000
1 1483 0.2500000000
1 2152 0.5000000000
1 2810 1.0000000000
1 2149 0.5000000000
1 2808 1.0000000000
1 2144 0.5000000000
1 2806 1.0000000000
1 1128 0.2391304348
1 38 0.0149253731
1 2801 1.0000000000
1 736 0.2682926829
1 2136 0.5000000000
1 2795 1.0000000000
1 2793 1.0000000000
1 1288 0.2000000000
1 1436 0.4583333333
1 2498 1.0000000000
1 7603 0.0153417015
1 2786 1.0000000000
1 2784 1.0000000000
1 587 0.0763888889
1 2783 1.0000000000
1 2780 1.0000000000
1 944 0.2291666667
1 305 0.0588235294
1 2779 1.0000000000
1 2775 1.0000000000
1 346 0.0632183908
1 683 0.1341463415
1 2772 1.0000000000
1 2129 0.5000000000
1 75 0.0179153094
1 2771 1.0000000000
1 175 0.0351437700
1 1136 0.1666666667
1 1283 0.2444444444
1 2127 0.5000000000
1 2767 1.0000000000
1 2764 1.0000000000
1 2763 1.0000000000
1 2093 0.5000000000
1 1284 0.2000000000
1 72 0.0201834862
1 264 0.0521327014
1 2754 1.0000000000
1 2756 1.0000000000
1 1285 0.2000000000
1 613 0.0635838150
1 304 0.0588235294
1 1282 0.2444444444
1 4721 0.5500000000
1 2752 1.0000000000
1 2750 1.0000000000
1 2746 1.0000000000
1 586 0.1170212766
1 2747 1.0000000000
1 2119 0.5000000000
1 1715 0.3333333333
1 1475 0.2500000000
1 734 0.1803278689
1 2744 1.0000000000
1 2108 0.5000000000
1 1923 0.5000000000
1 2743 1.0000000000
1 1465 0.3235294118
1 1720 0.3333333333
1 2742 1.0000000000
1 2117 0.5000000000
1 90 0.0181518152
1 2707 1.0000000000
1 1457 0.2500000000
1 2731 1.0000000000
1 2725 1.0000000000
1 2109 0.5000000000
1 2713 1.0000000000
1 155 0.0262529833
1 543 0.1692307692
1 2102 0.5000000000
1 231 0.0597826087
1 1708 0.3333333333
1 2700 1.0000000000
1 2687 1.0000000000
1 1413 0.2500000000
1 1129 0.1666666667
1 2695 1.0000000000
1 76 0.0286458333
1 1445 0.4583333333
1 2065 0.5000000000
1 2619 1.0000000000
1 2605 1.0000000000
1 1251 0.2444444444
1 2586 1.0000000000
1 1117 0.1964285714
1 300 0.0802919708
1 1248 0.2000000000
1 725 0.0990990991
1 578 0.1309523810
1 2559 1.0000000000
1 507 0.0591397849
1 1942 0.5000000000
1 1232 0.2444444444
1 42 0.0118025751
1 534 0.1157894737
1 994 0.1028037383
1 503 0.1037735849
1 2448 1.0000000000
1 846 0.1864406780
1 2 0.0039497307
1 7348 1.0000000000
1 7425 0.4090909091
1 7557 0.6428571429
1 7589 0.0957446809
1368 2 0.0071813285
164 2 0.0071813285
244 2 0.0071813285
62 2 0.0071813285
2244 2 0.0071813285
148 2 0.0071813285
7403 2 0.0071813285
52 2 0.0071813285
264 2 0.0071813285
159 2 0.0071813285
66 2 0.0071813285
20 2 0.0071813285
60 2 0.0071813285
585 2 0.0071813285
97 2 0.0071813285
2006 2 0.0071813285
1421 2 0.0071813285
353 2 0.0071813285
42 2 0.0071813285
37 2 0.0071813285
51 2 0.0068222621
185 2 0.0068222621
38 2 0.0068222621
7603 2 0.0068222621
312 2 0.0068222621
168 2 0.0068222621
354 2 0.0064631957
108 2 0.0064631957
9 2 0.0064631957
22 2 0.0064631957
91 2 0.0064631957
40 2 0.0064631957
250 2 0.0064631957
271 2 0.0064631957
119 2 0.0064631957
10 2 0.0064631957
113 2 0.0064631957
54 2 0.0064631957
375 2 0.0061041293
177 2 0.0061041293
31 2 0.0061041293
47 2 0.0061041293
17 2 0.0061041293
23 2 0.0061041293
74 2 0.0061041293
4 2 0.0061041293
179 2 0.0057450628
165 2 0.0057450628
306 2 0.0057450628
8 2 0.0053859964
242 2 0.0053859964
412 2 0.0053859964
381 2 0.0053859964
561 2 0.0053859964
216 2 0.0053859964
107 2 0.0053859964
681 2 0.0053859964
79 2 0.0053859964
272 2 0.0053859964
39 2 0.0053859964
150 2 0.0053859964
181 2 0.0053859964
109 2 0.0053859964
503 2 0.0053859964
223 2 0.0053859964
2404 2 0.0050269300
24 2 0.0050269300
19 2 0.0050269300
7 2 0.0050269300
348 2 0.0050269300
11 2 0.0050269300
473 2 0.0050269300
1921 2 0.0050269300
99 2 0.0050269300
121 2 0.0050269300
15 2 0.0046678636
1380 2 0.0046678636
30 2 0.0046678636
73 2 0.0046678636
85 2 0.0046678636
189 2 0.0046678636
787 2 0.0046678636
133 2 0.0046678636
1709 2 0.0046678636
75 2 0.0046678636
658 2 0.0046678636
293 2 0.0046678636
768 2 0.0046678636
45 2 0.0046678636
471 2 0.0046678636
1632 2 0.0046678636
281 2 0.0043087971
269 2 0.0043087971
96 2 0.0043087971
2336 2 0.0043087971
87 2 0.0043087971
206 2 0.0043087971
330 2 0.0043087971
90 2 0.0043087971
241 2 0.0043087971
190 2 0.0043087971
1494 2 0.0043087971
7577 2 0.0043087971
798 2 0.0043087971
211 2 0.0043087971
140 2 0.0043087971
217 2 0.0043087971
182 2 0.0043087971
236 2 0.0043087971
777 2 0.0043087971
1098 2 0.0043087971
106 2 0.0043087971
237 2 0.0043087971
44 2 0.0043087971
1401 2 0.0043087971
1409 2 0.0043087971
769 2 0.0043087971
1209 2 0.0043087971
917 2 0.0043087971
710 2 0.0043087971
114 2 0.0039497307
2698 2 0.0039497307
1127 2 0.0039497307
249 2 0.0039497307
1009 2 0.0039497307
1386 2 0.0039497307
173 2 0.0039497307
126 2 0.0039497307
43 2 0.0039497307
222 2 0.0039497307
647 2 0.0039497307
58 2 0.0039497307
5 2 0.0039497307
1156 2 0.0039497307
553 2 0.0039497307
170 2 0.0039497307
93 2 0.0039497307
145 2 0.0039497307
1523 2 0.0039497307
350 2 0.0039497307
89 2 0.0039497307
77 2 0.0039497307
1785 2 0.0039497307
166 2 0.0039497307
489 2 0.0039497307
25 2 0.0039497307
161 2 0.0039497307
1475 2 0.0039497307
83 2 0.0039497307
117 2 0.0039497307
146 2 0.0039497307
277 2 0.0039497307
70 2 0.0039497307
1487 2 0.0039497307
67 2 0.0039497307
175 2 0.0039497307
270 2 0.0039497307
587 2 0.0039497307
871 2 0.0039497307
389 2 0.0039497307
544 2 0.0039497307
2631 2 0.0039497307
672 2 0.0039497307
137 2 0.0039497307
424 2 0.0039497307
65 2 0.0039497307
1693 2 0.0039497307
475 2 0.0039497307
35 2 0.0039497307
449 2 0.0039497307
1998 2 0.0039497307
1977 2 0.0039497307
915 2 0.0039497307
63 2 0.0039497307
1957 2 0.0039497307
1635 2 0.0039497307
508 2 0.0039497307
2499 2 0.0039497307
2497 2 0.0039497307
299 2 0.0039497307
1225 2 0.0039497307
1232 2 0.0039497307
238 2 0.0039497307
2488 2 0.0039497307
1936 2 0.0039497307
382 2 0.0039497307
355 2 0.0039497307
1090 2 0.0039497307
1222 2 0.0039497307
21 2 0.0039497307
564 2 0.0039497307
2459 2 0.0039497307
774 2 0.0039497307
209 2 0.0039497307
1922 2 0.0039497307
504 2 0.0039497307
987 2 0.0039497307
2446 2 0.0039497307
986 2 0.0039497307
1603 2 0.0039497307
379 2 0.0039497307
446 2 0.0039497307
436 2 0.0039497307
512 2 0.0039497307
2 37 0.0328947368
2 38 0.0257801900
2 168 0.0931372549
2 4 0.0073133179
2 20 0.0242261104
2 767 0.4500000000
2 23 0.0210772834
2 40 0.0191489362
2 91 0.0571428571
2 113 0.0386266094
2 54 0.0365853659
2 108 0.0438144330
2 469 0.1082802548
2 250 0.0934065934
2 271 0.2125000000
2 471 0.3617021277
2 185 0.0398009950
2 188 0.0371229698
2 31 0.0180180180
2 312 0.1269841270
2 74 0.0493827160
2 119 0.0512820513
2 8 0.0089020772
2 381 0.1351351351
2 223 0.0728155340
2 257 0.0872093023
2 47 0.0267857143
2 17 0.0115651503
2 9 0.0090854028
2 150 0.0357142857
2 7400 0.1764705882
2 263 0.1145038168
2 42 0.0160944206
2 109 0.0313807531
2 489 0.1609195402
2 145 0.0157126824
2 107 0.0359897172
2 22 0.0113360324
2 473 0.1102362205
2 99 0.0331753555
2 165 0.0577777778
2 24 0.0121722846
2 7 0.0056034483
2 189 0.0646766169
2 787 0.1625000000
2 264 0.0616113744
2 66 0.0253411306
2 562 0.1756756757
2 270 0.0866666667
2 871 0.2203389831
2 15 0.0087897228
2 137 0.0388059701
2 75 0.0211726384
2 353 0.0673575130
2 21 0.0116383169
2 658 0.2096774194
2 45 0.0168612192
2 121 0.0341207349
2 10 0.0067427386
2 164 0.0368098160
2 1380 0.2666666667
2 2404 1.0000000000
2 1691 0.0591133005
2 14 0.0098119379
2 13 0.0082815735
2 139 0.0409556314
2 206 0.0547945205
2 19 0.0101265823
2 318 0.0681818182
2 561 0.1276595745
2 51 0.0147420147
2 90 0.0198019802
2 241 0.0439560440
2 1494 0.3529411765
2 77 0.0220994475
2 133 0.0281030445
2 70 0.0200668896
2 211 0.0377358491
2 681 0.0983606557
2 272 0.0324324324
2 862 0.2033898305
2 140 0.0321715818
2 217 0.0366972477
2 182 0.0410958904
2 251 0.0625000000
2 1098 0.2142857143
2 106 0.0218579235
2 503 0.1132075472
2 1409 0.3529411765
2 446 0.1764705882
2 769 0.1333333333
2 1209 0.3428571429
2 917 0.2068965517
2 710 0.1690140845
2 1632 0.5217391304
2 2006 1.0000000000
2 2698 1.0000000000
2 1127 0.1666666667
2 647 0.1325301205
2 126 0.0355987055
2 43 0.0121816168
2 242 0.0516431925
2 87 0.0178282010
2 5 0.0059459459
2 111 0.0336391437
2 1156 0.1666666667
2 16 0.0082028337
2 412 0.0578947368
2 5342 0.0282051282
2 95 0.0101476015
2 85 0.0132850242
2 3 0.0035256410
2 219 0.0383275261
2 93 0.0236559140
2 18 0.0110552764
2 350 0.0597826087
2 268 0.0607734807
2 89 0.0194346290
2 1785 0.3333333333
2 306 0.0700636943
